id,looks_faded,provisional,seed,image_paint_score,intersection_label,borough,neighborhood_id,notes
nyc-9034459,False,True,image_heuristic,0.3918,Jackson Avenue & 43 Avenue,Queens,QN0201,
nyc-10466,False,True,image_heuristic,0.3191,Weser Avenue & Pierce Street,Staten Island,SI0103,
nyc-47489,False,True,image_heuristic,0.3058,Spofford Avenue & Bryant Avenue,Bronx,BX0201,
nyc-39507,False,True,image_heuristic,0.3028,Hook Creek Boulevard & North Conduit Avenue,Queens,QN1307,
nyc-37720,False,True,image_heuristic,0.3026,Liberty Avenue & Brinkerhoff Avenue,Queens,QN1205,
nyc-55415,False,True,image_heuristic,0.2913,College Point Boulevard & Fowler Avenue,Queens,QN8191,
nyc-49361,False,True,image_heuristic,0.2591,Netherland Avenue & West 256 Street,Bronx,BX0803,
nyc-20144,False,True,image_heuristic,0.2562,Christopher Street & Washington Street,Manhattan,MN0203,
nyc-10656,False,True,image_heuristic,0.2509,Park Hill Court & Fairway Avenue,Staten Island,SI0102,
nyc-32412,False,True,image_heuristic,0.226,Jamaica Avenue & 91 Street,Queens,QN0905,
nyc-41460,False,True,image_heuristic,0.22,Northern Boulevard & 40 Road,Queens,QN0161,
nyc-44256,False,True,image_heuristic,0.2148,Webster Avenue & East 169 Street,Bronx,BX0302,
nyc-42828,False,True,image_heuristic,0.2064,Bruckner Boulevard & Alexander Avenue,Bronx,BX0101,
nyc-52942,False,True,image_heuristic,0.1978,Westchester Avenue & Doris Street,Bronx,BX1001,
nyc-29112,False,True,image_heuristic,0.1762,Mother Gaston Boulevard & Sutter Avenue,Brooklyn,BK1602,
nyc-13337,False,True,image_heuristic,0.1527,New Utrecht Avenue & 18 Avenue,Brooklyn,BK1101,
nyc-19740,False,True,image_heuristic,0.1321,Sandford Street & Willoughby Avenue,Brooklyn,BK0301,
nyc-1253,False,True,image_heuristic,0.115,Maguire Avenue & Anthony Street,Staten Island,SI0304,
nyc-20893,False,True,image_heuristic,0.1118,1 Avenue & East 6 Street,Manhattan,MN0303,
nyc-22744,False,True,image_heuristic,0.11,1 Avenue & East 51 Street,Manhattan,MN0604,
nyc-60389,False,True,image_heuristic,0.1011,Bell Boulevard & 18 Avenue,Queens,QN0703,
nyc-52159,False,True,image_heuristic,0.0992,Randall Avenue & Stickball Boulevard,Bronx,BX0902,
nyc-5196,False,True,image_heuristic,0.097,Amboy Road & Guyon Avenue,Staten Island,SI0301,
nyc-46931,False,True,image_heuristic,0.0933,Northern Boulevard & Junction Boulevard,Queens,QN0301,
nyc-2933,False,True,image_heuristic,0.0911,Woodrow Road & Gary Street,Staten Island,SI0303,
nyc-58026,False,True,image_heuristic,0.0872,Einstein Loop East & Einstein Loop North,Bronx,BX1004,
nyc-21829,False,True,image_heuristic,0.085,2 Avenue & East 30 Street,Manhattan,MN0603,
nyc-17481,False,True,image_heuristic,0.0842,Avenue M & East 12 Street,Brooklyn,BK1403,
nyc-3094,False,True,image_heuristic,0.0783,Arthur Kill Road & Getz Avenue,Staten Island,SI0302,
nyc-9030564,False,True,image_heuristic,0.0744,Willow Court & Gateway Boulevard,Queens,QN1401,
nyc-26008,False,True,image_heuristic,0.0717,Avenue K & East 82 Street,Brooklyn,BK1803,
nyc-48306,False,True,image_heuristic,0.0711,Southern Boulevard & East 179 Street,Bronx,BX0601,
nyc-11872,False,True,image_heuristic,0.0706,Poly Place & Cropsey Avenue,Brooklyn,BK1091,
nyc-42987,False,True,image_heuristic,0.0706,Willis Avenue & East 143 Street,Bronx,BX0101,
nyc-465,False,True,image_heuristic,0.0661,Veterans Road West & West Shore Parkway,Staten Island,SI0305,
nyc-28739,False,True,image_heuristic,0.0656,Remsen Avenue & Avenue M,Brooklyn,BK1803,
nyc-21831,False,True,image_heuristic,0.0644,2 Avenue & East 31 Street,Manhattan,MN0603,
nyc-1094,False,True,image_heuristic,0.0639,Bloomingdale Road & Woodrow Road,Staten Island,SI0304,
nyc-1719,False,True,image_heuristic,0.0639,Daffodil Court & Dogwood Drive,Staten Island,SI0303,
nyc-26950,False,True,image_heuristic,0.0639,Patchen Avenue & Chauncey Street,Brooklyn,BK0302,
nyc-52161,False,True,image_heuristic,0.0633,Randall Avenue & Pugsley Avenue,Bronx,BX0902,
nyc-49876,False,True,image_heuristic,0.0629,Junction Boulevard & Horace Harding Expressway,Queens,QN0601,
nyc-25696,False,True,image_heuristic,0.0622,Utica Avenue & Avenue I,Brooklyn,BK1801,
nyc-49935,False,True,image_heuristic,0.0622,62 Drive & Junction Boulevard,Queens,QN0601,
nyc-28693,False,True,image_heuristic,0.0606,Flatlands Avenue & East 96 Street,Brooklyn,BK1803,
nyc-449,False,True,image_heuristic,0.06,Veterans Road West & Arthur Kill Road,Staten Island,SI0305,
nyc-44404,False,True,image_heuristic,0.0585,Riverside Drive & Payson Avenue,Manhattan,MN1202,
nyc-13003,False,True,image_heuristic,0.0583,Neptune Avenue & West 16 Street,Brooklyn,BK1302,
nyc-49183,False,True,image_heuristic,0.0583,Webster Avenue & East 204 Street,Bronx,BX0703,
nyc-55889,False,True,image_heuristic,0.0578,154 Street & 35 Avenue,Queens,QN0704,
nyc-17249,False,True,image_heuristic,0.0567,Mcdonald Avenue & Lawrence Avenue,Brooklyn,BK1202,
nyc-52565,False,True,image_heuristic,0.0561,White Plains Road & Watson Avenue,Bronx,BX0901,
nyc-18027,False,True,image_heuristic,0.0556,Coney Island Avenue & Hinckley Place,Brooklyn,BK1203,
nyc-55414,False,True,image_heuristic,0.0556,College Point Boulevard & Blossom Avenue,Queens,QN8191,
nyc-4654,False,True,image_heuristic,0.0539,Giffords Lane & Brower Court,Staten Island,SI0302,
nyc-12844,False,True,image_heuristic,0.0528,86 Street & Bay 26 Street,Brooklyn,BK1101,
nyc-82949,False,True,image_heuristic,0.0522,Beach 32 Street & Seagirt Boulevard,Queens,QN1401,
nyc-17059,False,True,image_heuristic,0.05,Ocean Avenue & Avenue Y,Brooklyn,BK1503,
nyc-1551,False,True,image_heuristic,0.0494,Woodrow Road & Huguenot Avenue,Staten Island,SI0304,
nyc-4552,False,True,image_heuristic,0.0489,Elverton Avenue & Barlow Avenue,Staten Island,SI0302,
nyc-2040,False,True,image_heuristic,0.0483,Huguenot Avenue & Deisius Street,Staten Island,SI0304,
nyc-42988,False,True,image_heuristic,0.0483,Willis Avenue & East 144 Street,Bronx,BX0101,
nyc-17062,False,True,image_heuristic,0.0478,Ocean Avenue & Avenue X,Brooklyn,BK1503,
nyc-5250,False,True,image_heuristic,0.0472,Richmond Road & Rockland Avenue,Staten Island,SI0301,
nyc-21796,False,True,image_heuristic,0.0461,East 13 Street & Avenue B,Manhattan,MN0303,
nyc-181,False,True,image_heuristic,0.045,Brighton Street & Pittsville Avenue,Staten Island,SI0305,
nyc-21306,False,True,image_heuristic,0.0389,10 Avenue & West 45 Street,Manhattan,MN0402,
nyc-23819,False,True,image_heuristic,0.0388,1 Avenue & East 99 Street,Manhattan,MN1101,
nyc-23407,False,True,image_heuristic,0.0356,Columbus Avenue & West 88 Street,Manhattan,MN0702,
nyc-42478,False,True,image_heuristic,0.0328,3 Avenue & East 120 Street,Manhattan,MN1102,
nyc-23820,False,True,image_heuristic,0.0211,East 102 Street & 3 Avenue,Manhattan,MN1101,
nyc-23723,False,True,image_heuristic,0.019,3 Avenue & East 97 Street,Manhattan,MN1101,
nyc-21832,False,True,image_heuristic,0.0,1 Avenue & East 29 Street,Manhattan,MN0603,
nyc-23708,False,True,image_heuristic,0.0,1 Avenue & East 87 Street,Manhattan,MN0803,
nyc-41674,False,True,image_heuristic,0.0,29 Street & 30 Road,Queens,QN0103,
